year,month,Gün,H,Güneşlenme Süresi (Saat) S,"Gün
 Uzunlugu (saat) So",H0,SoverS0,HoverH0,date
2018.0,1.0,16.0,1332.2112903225807,2.4129032258064513,9.635298382334982,4472.991842637325,0.25026312366177406,0.2975447288365723,2018-01-01
2018.0,2.0,14.5,1960.8374999999999,2.9642857142857144,10.541051149297544,5852.714302661404,0.28138546874485465,0.3344156152930817,2018-02-01
2018.0,3.0,16.0,2460.206451612903,4.760752688172043,11.743986508993409,7790.989470244702,0.40526846932473826,0.31393883478219603,2018-03-01
2018.0,4.0,15.5,2813.9152083333333,6.75,13.028019861622056,9721.00827610543,0.5176776083675846,0.2885629259552885,2018-04-01
2018.0,5.0,16.0,3496.058064516129,7.648387096774194,14.109539987845341,11050.431809848362,0.5421294472461083,0.3162843284071819,2018-05-01
2018.0,6.0,15.5,4022.0855555555554,10.226666666666667,14.653822207724305,11582.944982952517,0.697912190247149,0.34711576730229293,2018-06-01
2018.0,7.0,16.0,4266.814516129032,10.658064516129034,14.39709394115621,11292.394583301477,0.7403285504060944,0.37795569990953365,2018-07-01
2018.0,8.0,16.0,3658.016129032258,10.66451612903226,13.456584576029455,10188.067681352246,0.7926163226668439,0.3587083947382709,2018-08-01
2018.0,9.0,15.5,2987.6069444444443,7.473333333333333,12.21350704361449,8432.324828742729,0.6113883573208345,0.3543219460556329,2018-09-01
2018.0,10.0,16.0,2075.1129032258063,6.583870967741936,10.932255411872108,6414.155113892544,0.6016032668976624,0.32336942891260717,2018-10-01
2018.0,11.0,15.5,1219.572777777778,4.913333333333333,9.860566449503073,4772.888338646696,0.4965162905102839,0.25318886346855,2018-11-01
2018.0,12.0,16.0,982.6381720430107,2.6580645161290324,9.343728319050784,4052.135144452065,0.2844819198622562,0.24291075195222495,2018-12-01
2019.0,1.0,16.0,1355.914516129032,2.4064516129032256,9.635298382334982,4472.991842637325,0.24936056410809682,0.30302492615695853,2019-01-01
2019.0,2.0,14.5,1940.1892857142855,3.107142857142857,10.541051149297544,5852.714302661404,0.29546775514558743,0.33130369258980036,2019-02-01
